file	theorem	proof_deps	resolved_deps	missing_deps	oracles	has_skip_proof
GeoTop_Prefix_continuous_on_circle_path_R2_components_1.p	GeoTop_Prefix.continuous_on_circle_path_R2_components_1	22	22	0	0	false
GeoTop_Prefix_continuous_on_circle_path_R2_components_2.p	GeoTop_Prefix.continuous_on_circle_path_R2_components_2	22	22	0	0	false
GeoTopBase0_geotop_overlay_complex_closed_under_faces.p	GeoTopBase0.geotop_overlay_complex_closed_under_faces	24	24	0	0	false
GeoTopBase0_geotop_iterated_Sd_simplex_V_in_K_simplex.p	GeoTopBase0.geotop_iterated_Sd_simplex_V_in_K_simplex	21	21	0	0	false
GeoTopBase0_geotop_cell_flag_barycenters_affine_indep.p	GeoTopBase0.geotop_cell_flag_barycenters_affine_indep	191	191	0	0	false
GeoTopBase_geotop_1dim_vertex_in_1simplex_is_endpoint.p	GeoTopBase.geotop_1dim_vertex_in_1simplex_is_endpoint	71	71	0	0	false
GeoTopBase_broken_line_internal_vertex_card_edges_ge2.p	GeoTopBase.broken_line_internal_vertex_card_edges_ge2	313	313	0	0	false
GeoTopBase_ball_intersect_aff_hull_segment_in_segment.p	GeoTopBase.ball_intersect_aff_hull_segment_in_segment	276	276	0	0	false
GeoTop_real_cut_homeomorphic_component_cover_if_split.p	GeoTop.real_cut_homeomorphic_component_cover_if_split	153	153	0	0	false
GeoTop_Prefix_theta_graph_unique_unbounded_component.p	GeoTop_Prefix.theta_graph_unique_unbounded_component	87	87	0	0	false
GeoTop_Prefix_theta_graph_unbounded_in_pair_exterior.p	GeoTop_Prefix.theta_graph_unbounded_in_pair_exterior	104	104	0	0	false
GeoTop_Prefix_subspace_topology_S2_minus_north_trans.p	GeoTop_Prefix.subspace_topology_S2_minus_north_trans	6	6	0	0	false
GeoTop_Prefix_pair_of_arcs_image_homeomorphic_sphere.p	GeoTop_Prefix.pair_of_arcs_image_homeomorphic_sphere	177	177	0	0	false
GeoTop_Prefix_R2_to_S2_geotop_arc_top1_arc_endpoints.p	GeoTop_Prefix.R2_to_S2_geotop_arc_top1_arc_endpoints	56	56	0	0	false
GeoTopBase0_geotop_overlay_complex_covers_each_right.p	GeoTopBase0.geotop_overlay_complex_covers_each_right	51	51	0	0	false
GeoTopBase0_geotop_order_complex_induced_subdivision.p	GeoTopBase0.geotop_order_complex_induced_subdivision	65	65	0	0	false
GeoTopBase0_geotop_finite_subset_simplex_hull_subset.p	GeoTopBase0.geotop_finite_subset_simplex_hull_subset	15	15	0	0	false
GeoTopBase0_geotop_finite_distinct_lists_over_finite.p	GeoTopBase0.geotop_finite_distinct_lists_over_finite	32	32	0	0	false
GeoTopBase0_geotop_cell_flag_init_barycenters_in_top.p	GeoTopBase0.geotop_cell_flag_init_barycenters_in_top	175	175	0	0	false
GeoTopBase_geotop_simplex_dim_le_1_empty_interior_R2.p	GeoTopBase.geotop_simplex_dim_le_1_empty_interior_R2	174	174	0	0	false
GeoTopBase_geotop_complex_restrict_subset_is_complex.p	GeoTopBase.geotop_complex_restrict_subset_is_complex	52	52	0	0	false
GeoTop_Prefix_theta_arc_in_one_side_of_pair_polygon.p	GeoTop_Prefix.theta_arc_in_one_side_of_pair_polygon	135	135	0	0	false
GeoTop_Prefix_geotop_euclidean_topology_UNIV_strict.p	GeoTop_Prefix.geotop_euclidean_topology_UNIV_strict	26	26	0	0	false
GeoTop_Prefix_compact_polyhedron_imp_finite_complex.p	GeoTop_Prefix.compact_polyhedron_imp_finite_complex	116	116	0	0	false
GeoTopBase0_geotop_overlay_complex_covers_each_left.p	GeoTopBase0.geotop_overlay_complex_covers_each_left	51	51	0	0	false
GeoTopBase0_geotop_iterated_Sd_simplex_in_K_simplex.p	GeoTopBase0.geotop_iterated_Sd_simplex_in_K_simplex	4	4	0	0	false
GeoTopBase0_geotop_complex_polyhedron_point_carrier.p	GeoTopBase0.geotop_complex_polyhedron_point_carrier	274	274	0	0	false
GeoTopBase0_geotop_bary_lin_inj_image_superset_hull.p	GeoTopBase0.geotop_bary_lin_inj_image_superset_hull	64	64	0	0	false
GeoTopBase_simplex_dim_1_homeomorphic_unit_interval.p	GeoTopBase.simplex_dim_1_homeomorphic_unit_interval	164	164	0	0	false
GeoTopBase_geotop_convex_open_broken_line_connected.p	GeoTopBase.geotop_convex_open_broken_line_connected	222	222	0	0	false
GeoTopBase_geotop_ball_avoids_closed_not_containing.p	GeoTopBase.geotop_ball_avoids_closed_not_containing	120	120	0	0	false
GeoTopBase_ball_minus_hyperplane_has_two_components.p	GeoTopBase.ball_minus_hyperplane_has_two_components	238	238	0	0	false
GeoTop_same_component_real_complement_singleton_iff.p	GeoTop.same_component_real_complement_singleton_iff	40	40	0	0	false
GeoTop_finite_components_real_complement_two_points.p	GeoTop.finite_components_real_complement_two_points	299	299	0	0	false
GeoTop_connected_closure_point_meets_sphere_between.p	GeoTop.connected_closure_point_meets_sphere_between	156	156	0	0	false
GeoTop_Prefix_geotop_polygon_exterior_is_component.p	GeoTop_Prefix.geotop_polygon_exterior_is_component	139	139	0	0	false
GeoTop_Prefix_R2_to_S2_image_subset_S2_minus_north.p	GeoTop_Prefix.R2_to_S2_image_subset_S2_minus_north	32	32	0	0	false
GeoTop_Prefix_R2_S2_minus_north_homeomorphism_UNIV.p	GeoTop_Prefix.R2_S2_minus_north_homeomorphism_UNIV	15	15	0	0	false
